agent_id,trial,phenotype,action,reward
5,122,random,1,0
5,123,random,1,1
5,124,random,0,1
5,125,random,0,1
5,126,random,1,0
5,127,random,1,0
5,128,random,1,0
5,129,random,0,1
5,130,random,1,0
5,131,random,1,0
5,132,random,0,1
5,133,random,0,1
5,134,random,1,1
5,135,random,1,1
5,136,random,0,1
5,137,random,1,1
5,138,random,0,1
5,139,random,0,1
5,140,random,1,1
5,141,random,0,0
5,142,random,1,0
5,143,random,0,1
5,144,random,0,0
5,145,random,0,0
5,146,random,0,1
5,147,random,0,1
5,148,random,0,0
5,149,random,1,0
6,0,explorer,0,1
6,1,explorer,0,1
6,2,explorer,0,1
6,3,explorer,0,1
6,4,explorer,0,1
6,5,explorer,1,0
6,6,explorer,0,1
6,7,explorer,1,0
6,8,explorer,0,0
6,9,explorer,0,1
6,10,explorer,0,1
6,11,explorer,1,1
6,12,explorer,0,1
6,13,explorer,0,1
6,14,explorer,1,0
6,15,explorer,0,0
6,16,explorer,0,1
6,17,explorer,0,0
6,18,explorer,0,1
6,19,explorer,0,1
6,20,explorer,1,1
6,21,explorer,1,0
6,22,explorer,0,1
6,23,explorer,0,0
6,24,explorer,0,1
6,25,explorer,0,0
6,26,explorer,1,1
6,27,explorer,0,1
6,28,explorer,1,0
6,29,explorer,0,0
6,30,explorer,1,0
6,31,explorer,1,0
6,32,explorer,0,1
6,33,explorer,1,1
6,34,explorer,1,0
6,35,explorer,1,1
6,36,explorer,1,1
6,37,explorer,1,0
6,38,explorer,0,1
6,39,explorer,0,1
6,40,explorer,1,0
6,41,explorer,0,1
6,42,explorer,0,1
6,43,explorer,0,1
6,44,explorer,0,1
6,45,explorer,0,0
6,46,explorer,0,0
6,47,explorer,0,1
6,48,explorer,1,0
6,49,explorer,0,1
6,50,explorer,0,1
6,51,explorer,0,1
6,52,explorer,0,1
6,53,explorer,1,1
6,54,explorer,0,0
6,55,explorer,1,0
6,56,explorer,0,0
6,57,explorer,0,1
6,58,explorer,0,0
6,59,explorer,1,1
6,60,explorer,0,1
6,61,explorer,1,0
6,62,explorer,0,1
6,63,explorer,1,1
6,64,explorer,1,1
6,65,explorer,0,1
6,66,explorer,1,0
6,67,explorer,1,0
6,68,explorer,0,1
6,69,explorer,1,1
6,70,explorer,0,0
6,71,explorer,0,1
6,72,explorer,0,1
6,73,explorer,0,0
6,74,explorer,1,0
6,75,explorer,0,0
6,76,explorer,1,1
6,77,explorer,0,1
6,78,explorer,0,1
6,79,explorer,0,0
6,80,explorer,1,0
6,81,explorer,0,1
6,82,explorer,0,1
6,83,explorer,0,0
6,84,explorer,1,0
6,85,explorer,0,0
6,86,explorer,0,1
6,87,explorer,1,0
6,88,explorer,0,1
6,89,explorer,0,1
6,90,explorer,1,0
6,91,explorer,0,0
6,92,explorer,0,1
6,93,explorer,1,0
6,94,explorer,1,1
6,95,explorer,1,0
6,96,explorer,1,0
6,97,explorer,1,0
6,98,explorer,0,1
6,99,explorer,1,1
6,100,explorer,0,1
6,101,explorer,1,0
6,102,explorer,0,1
6,103,explorer,0,0
6,104,explorer,0,1
