Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9
76,1.4120648524575363,0.17683535112225907,0.19282927924360746,0.1959563848276054,0.30585976694233363,2.277517134739789,0.002256299014098645,1.1100391398714327e-06,1.5973844575354637
77,0.8205197296806187,0.22116818184433407,0.5738147473017962,0.09798675868048623,0.29410523855360055,2.117915067323713,4.044823217438722e-18,0.5512258162848761,1.423080891664957
78,0.5860664289633802,0.5581333464922417,0.805081198703676,1.2621613019014197e-17,0.47633186831026664,2.3314016068972343,0.018459971064356897,0.7529043771421792,0.36656974379889523
79,0.6646988376414208,0.6215921580076096,0.43835960906816407,0.6147641621289291,0.2877277368782098,2.304680727027226,1.3941934768215009e-18,0.6099960216639867,0.5120459978384881
80,5.178647016925195e-11,5.675750464971121e-23,0.4616631246569838,1.065821338900626,0.7379973852957118,2.120825707642765,9.28571485432865e-20,1.1373528535203554,0.47976005433817365
81,2.1087240426560398e-20,1.2241452346902992e-09,1.1370662837194174,0.44026762646475426,0.6810755496017772,2.333042272597997,2.7856382274006146e-65,1.242312075547238,0.03949725789466458
82,0.006774165981193028,0.7958876336282916,1.0214868421126069,0.0002175007626712714,0.3386889323412902,2.056894113073686,3.5871444090909065e-39,0.8876557267918326,0.8317926999237608
83,9.10505138545123e-10,0.7300711369117959,0.6845398661624732,0.11555919076403197,0.6791206594489896,2.3217906922101834,8.725310790802801e-86,1.1747251201018671,0.05036002356960729
84,0.39424618636465114,0.6681926427951015,0.7954647418619716,2.8638576786684386e-29,0.3576618973213614,2.3295695736083633,6.036836907362276e-60,0.0045954906584428,1.7490764877993754
85,1.3507664882797927e-05,1.1934816694458623e-26,1.2502043280183364,0.5467965182220865,0.6797713452103158,2.247949211843497,2.1927125448654973e-35,0.9815853230638247,0.22794009466304055
86,8.6107662139061e-08,0.8122932030915042,0.944305124009851,0.07072991840227809,1.256192676818144,2.2264005972404703,3.165599346238506e-26,0.0393039667431903,0.4415209491530333
87,0.3518208352430531,5.4095277310397853e-05,0.4688496067040089,0.12278545992357089,1.3724877112640304,2.3952508860147037,1.247319604211092e-36,0.051513288278271854,1.6593870364570844
88,8.006764542638653e-07,1.1347777720144094,0.8782251582981938,0.09143792781025854,7.34982490333918e-05,2.485406030488932,0.0001183506643142329,0.19920531212292858,1.4428352800674058
89,3.4485108798885054e-26,0.46169852429337693,0.04764183704159867,0.2878402057071062,1.3283769713265656,2.31742486850083,4.915877370189614e-65,0.48664943671806565,1.08838970575631
90,0.5690126106358953,0.8660590074712147,0.23087020332778724,0.11214771085604881,1.3043085516446211,2.354038187616004,7.380653227518822e-33,0.15512954004431087,0.07331715244896138
91,1.959272588164923e-09,1.1007339461418282,0.5599007427103723,0.3410575953387147,0.002410553596351169,2.3863337704852934,5.645528954075512e-19,2.6870289148230448e-20,1.801755030404446
92,0.15580858632104472,0.536850764118711,0.04722519720171037,0.4756272955955074,0.02104608523457916,2.4506751931379416,7.28685136814218e-22,1.0445654248542882,1.4633144770495363
