AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9,LatentFactor_10
61,0.2903542803190297,0.03911890482488669,0.1615878665690723,0.2226771557336571,0.27342716943356493,0.2342068761989832,1e-323,0.11234992609430416,9.126415341062468e-71,0.19142527744487786
62,0.3901644953146719,0.12940204172620642,1.1820735706458328e-55,0.286370374882711,0.029757577104661606,0.13834160095446113,0.2669696164924152,0.4439566731767539,0.003967812161593298,0.25414290226773334
63,1.0403746251991758e-22,0.0,0.2789091695536933,0.2628699193581806,0.06304802411417079,0.27551431438945534,0.0,0.28576940763942293,0.1582248255679075,0.10738147354907755
64,3.0867144530548955e-69,0.0,0.13288235447936894,0.19369159274656284,0.1800139560585459,0.19569044895247917,0.0,0.12325998471208337,0.17981454717757264,0.34567795141508234
65,1e-323,0.0427439848261603,0.12361516264750108,0.245763893124353,0.1223960762302307,0.13960498817085673,5e-324,0.22855725902874835,0.14904500264118192,0.3307204024789871
66,1.1e-322,0.025487955864038816,0.1599947638034006,0.14415429155731835,0.1596560263670752,0.15400729552029713,0.0,0.22617850119570385,0.2805602029927385,0.19035972510820573
67,0.46644812292258503,0.08034288799446443,0.18633621614584087,0.2678978120900672,1.6662162052532404e-101,2.2565494508420174e-17,0.2424634864561341,0.14183165217802363,0.14148114063661324,0.1823581044791152
68,0.18342886985562376,0.0,0.20932326901641168,0.1512999156982524,0.16505537014282412,0.18524697843694352,0.06679900243310521,0.4608098490035761,2.69426373605738e-112,0.1387802615509968
69,0.4653884961520349,0.13888722889816754,0.19759439457842792,0.07308487937516499,0.1873238154737667,0.14671794495935128,0.14984437947649,0.06974529039726239,0.031154253094122623,0.2041083548348647
70,0.15870864338855079,0.1927612741168671,0.20685809332732372,0.3787107894309021,0.1443926631454484,0.14112708048423472,6.366496664886765e-285,0.10308223807383542,0.14773465514534007,0.09095872878470677
71,0.48522650469529605,0.08362351971870019,0.09240759664640616,0.38934966389068193,0.21993885069982594,0.029350983133955774,0.12668272765987854,0.07089772830943189,5.022952059147207e-137,0.19053743839637247
72,0.5427111075463276,0.0970053725652303,2.928754042826909e-128,0.2825730998922034,0.26013151392368206,0.04215137225977069,0.19848506748243716,0.4164218869830504,0.10709270970001766,9.931590123717769e-96
73,0.24314808503356908,0.17847336430767274,1.4826953937979765e-30,0.34032192605841455,8.733790397122068e-30,0.13757544852140813,0.019162979406509545,0.19653730513599593,0.29708362486897805,0.20598412299705426
74,0.0,0.2125546237773222,0.05834514845533097,0.2826486703437247,0.27767820208609584,0.08374060398954769,0.05061625680094182,0.33933981978898287,0.21377508019653393,1.4606893373599405e-14
75,0.019523183086288656,0.0755826440011606,0.25244905802583295,0.3534878348549195,0.18188692352250438,0.19797432243492935,0.0,0.32134285024127063,3.15964227833272e-125,0.07090571489943077
76,0.032117774030961034,0.025495422763118492,0.3017370889259057,0.34457106101593166,0.2050844732843032,0.0772503790956565,0.0,0.15252336259936877,0.16129663385437393,0.12142310092027726
77,0.0002820018435013804,0.0288277281628541,0.25875527622151,0.09619060194206648,0.24524926709331746,0.09055979433892311,0.043613106118356906,0.3849736321135344,0.2119603077760628,0.24772285918568263
78,0.3962424524435549,0.1448368781376107,0.1516987186387784,0.06646752957285192,0.08194385872151513,0.03200405040677766,0.17837841611214375,0.1670056778288665,0.27482160775439174,0.32012976213000344
79,2.8829539725863034e-230,0.2766114225603129,0.1524462978339897,0.24016345586012453,0.2583765148164141,0.023773046683993826,0.05989176171098502,0.40067260565867646,0.23599336618286573,0.2533174102488751
80,0.0065263628627655525,0.04841836853689764,0.12462087781352943,0.31423842100464894,0.2459812905338833,0.20392761277583946,0.0,0.06497173456971062,0.29475368856216044,0.17189285362821433
81,0.19659109537102254,0.002451858094438274,0.23204189851711873,0.16928007042458343,0.06994330927846906,0.1261956638635762,0.03423204837120892,0.2969556946056512,0.2851477536298508,0.18145672810374996
82,0.0,0.022743048007344734,0.14512820808532517,0.24882984300325595,0.21649704657716154,0.23925520443530315,0.0,0.37230168022065013,0.2042741220010979,0.1446704559636114
83,0.07522084465030938,0.11082830621658522,0.14360253473813378,0.2588939938298246,0.28862050109472565,0.0635268291218884,0.006777859063030677,0.177706883064567,0.23242799549737955,0.0928642305363031
84,0.0003906058111245016,0.0244497185754459,0.2211902367789643,0.29989367967469377,0.2521757452625166,0.15671650564319922,0.0,0.17758586156636835,0.115780768324496,0.2403236257831982
85,0.32558537216619454,0.0836222430589756,0.25742984754230225,0.049140129807368704,0.24240503955082018,0.0020209638978868428,0.2374371856338612,0.44299602102121255,0.10614112179769422,0.04729416185637257
86,0.4606687718108134,0.1274911134702558,3.5671338881838776e-48,0.3316054189862483,0.06878343036518812,0.2568352586252105,0.1381088346540755,0.0009882714820790622,0.1230302824999717,0.1384497223733151
87,0.0,0.030429451672379936,0.12375892250999132,0.11630310095998911,0.12946758899059552,0.1302677994236173,0.025013227092975945,0.6430575517168025,0.22439005040966592,0.13406871817397378
88,0.004454080459680851,0.2773156237110625,0.26792762426207406,0.08340020387805268,0.23669888725140478,0.1570229206669572,0.061145352184477995,0.2796874495236349,0.05351490497316309,0.2667505856682648
89,1.1e-322,0.025487955864038816,0.10029092496056809,0.16223588845621487,0.3057607212424022,0.2639913870732146,0.0,0.0436903927341197,0.21091933442806532,0.258865577402589
90,3.508796082609362e-76,0.0,0.22412361999827954,0.07534622797473019,0.33665187220042947,0.24561049373972402,0.0,0.0845305167393936,0.061460820281142796,0.2816268651704823
91,0.2677428849273237,0.07814490693129035,0.2358455978059821,0.20598582928131984,0.17934070771903968,0.09278140406307632,0.2057797547075596,0.027763711103539996,0.21763032743443567,0.1762603363222804
92,0.3467297674849285,0.059634944607987045,0.12942987951462237,0.28154121936266463,0.36846055337571965,0.07499455371763501,0.11895458855747128,5.464962000023055e-168,0.22798098541400733,0.019781027006065394
93,8.062774369857751e-249,0.04996424062734807,0.16829645975915908,0.25662558106739325,0.25077982137284205,0.05144408282717391,0.0,0.23458785599763624,0.21755455999261902,0.23631582974726856
94,0.01786846403155317,0.1399224243061714,0.15216113525018818,0.2242686938190822,0.11039726818970655,0.20384010933094487,0.0,0.4741967827192861,0.35485420504460974,7.329577230128592e-07
95,0.3518885178651175,0.11519909874921495,0.22592494868924418,0.15453768341662377,0.13696219527622952,0.15628134775339433,0.09814324208995756,0.18266619653740285,0.1986794010987998,0.11598892181072255
